Slope_Position,Surface_stoniness,Area_affected,Erosion_degree,Sensitivity_to_capping,Wind_Speed_kmh,Temperature,Soil_Moisture_%,Humidity_%,Rainfall_mm,River_Discharge_m3s,Land_Use_Type,Elevation_m,Flood_Occurrence
A,M,4,V,M,14.70337311,28,71.15739799,57.83744742,105.3015935,466.4338451,Forest,1600,1
A,C,3,V,M,10.51592781,27,78.88584284,45.52401916,40.70235477,461.3225698,Urban,1900,0
A,A,2,S,S,38.26816819,28,63.77913897,75.94267523,124.3106264,251.18591,Forest,1800,0
M,D,3,V,N,12.65131705,29,69.24367475,77.4189267,153.512999,363.941997,Agriculture,1900,1
M,A,1,S,W,43.27811916,27,39.49499016,78.91028921,42.14017645,368.566207,Wetland,1700,0
M,V,1,S,M,5.142129608,27,61.63076111,56.04412167,81.40441247,18.35647174,Forest,1800,0
A,A,2,S,N,6.297759819,28,26.7144002,40.90664105,21.13863375,237.384503,Urban,1900,0
M,M,3,M,W,48.95757776,29,17.73318792,97.90092217,120.3295471,168.1616971,Forest,1600,0
A,N,5,V,S,33.69194491,27,64.82355103,55.05358274,131.1825966,460.2679426,Agriculture,1800,1
L,F,5,E,S,42.34436122,27,30.10672942,80.56157728,148.0330405,6.001513636,Urban,1600,0
M,N,2,M,M,16.21646887,28,30.74156843,82.39779219,115.8367154,276.4074379,Agriculture,1700,0
A,C,3,M,W,33.82418748,29,26.35254257,76.60044502,29.80735223,370.3317905,Agriculture,1900,0
L,N,2,S,S,29.71209137,29,12.94652327,58.77444365,0.828317569,242.5089938,Forest,1600,0
H,V,1,S,N,30.15750601,27,11.25117543,56.26577523,122.3192143,42.70151508,Agriculture,1700,0
A,M,2,V,M,34.12662298,28,79.14056728,75.86009696,136.0286016,486.230695,Urban,1900,1
A,M,2,M,M,28.76795866,29,39.94411936,91.96573802,109.3510752,259.0052157,Agriculture,1700,0
A,F,1,S,N,21.45311847,29,36.9028653,96.80402374,115.690552,307.0931222,Agriculture,1600,0
A,C,3,M,S,13.79613472,29,57.57530979,46.35434826,11.10669776,118.3048914,Forest,1700,0
A,M,5,V,S,38.42906655,28,25.27777215,49.28971676,53.76985928,241.7490426,Agriculture,1800,0
A,M,1,S,N,11.3136215,29,76.49728288,96.68417553,127.3803589,214.574746,Wetland,1900,1
A,N,2,S,W,34.61771531,29,65.04415101,84.1921137,129.4655139,37.447921,Forest,1700,0
A,N,2,S,W,11.66664113,30,66.25877016,92.97962949,133.494719,453.0801768,Forest,1600,1
L,N,3,V,W,31.2665085,26,69.2306543,52.15795805,149.6347037,418.7362598,Urban,1900,1
M,N,1,S,N,37.35391336,27,71.53828153,75.25515227,9.533752543,119.9099761,Urban,1800,0
H,N,1,S,N,10.93569445,28,76.13124156,82.06837567,46.64734826,97.47913575,Urban,1900,0
H,N,1,S,N,2.997165043,28,42.71810579,80.80671313,48.7774983,252.4557256,Urban,1800,0
H,N,1,S,N,6.54868715,27,52.93879724,64.48910145,109.4409268,384.3735657,Wetland,1900,0
H,N,1,S,N,30.29984836,27,21.69237623,40.9236935,95.6336207,30.97325929,Forest,1700,0
M,C,2,M,N,42.47232031,28,79.38180383,74.97556341,133.0819114,288.4039598,Agriculture,1700,0
D,N,5,S,N,2.249841062,26,26.2170191,55.18609235,70.83223877,59.60522142,Urban,1600,0
M,C,1,S,W,36.70756295,27,75.99122419,67.01525477,17.93913689,18.23052541,Urban,1800,0
M,N,1,S,M,17.0659323,24,55.47526543,97.45486091,136.9867181,326.3719761,Urban,1600,1
D,N,5,V,N,23.9264185,27,52.54157564,63.94211906,114.1177573,417.0820541,Agriculture,1700,0
H,N,1,S,N,46.44297749,27,45.88819577,90.3880964,84.19157964,58.98624181,Urban,1800,0
M,N,1,S,N,16.59857524,22,26.14688682,51.31243634,115.645077,22.57568221,Agriculture,1600,0
L,N,1,S,N,23.2668467,25,22.35696224,80.34762988,74.06933945,218.9499436,Forest,1600,0
M,F,2,V,M,0.684120738,26,65.43403463,98.62041727,128.4099244,421.996736,Forest,1600,1
M,C,3,M,M,4.079936,26,23.05067835,46.11358605,64.13115275,131.2041882,Forest,1600,0
L,N,2,S,W,12.92957956,24,64.57091315,40.49919653,3.812869012,210.8563088,Wetland,1600,0
M,N,3,V,W,1.392612041,25,64.50876814,66.01496756,116.183714,319.9612663,Agriculture,1800,1
M,M,1,S,W,31.5687663,27,14.04898736,45.55752898,4.714377853,224.5392571,Urban,1600,0
M,D,1,S,N,21.31991784,25,77.83718411,84.90306098,95.46156169,288.8065403,Urban,1800,0
M,D,2,V,N,27.40726014,27,71.86501195,94.87291983,117.1533972,285.4535269,Urban,1600,1
M,V,1,S,N,8.732359295,26,74.94265982,66.04125836,76.28560367,166.2133461,Urban,1700,0
M,D,2,M,S,14.79660147,23,79.64354759,55.52269853,136.1349711,157.7665903,Wetland,1700,0
M,A,1,S,W,33.19122374,23,22.17266745,66.06419914,37.39383437,53.31180947,Urban,1600,0
M,F,2,M,M,48.26513618,26,37.73694132,83.40686907,61.55743846,183.3991603,Wetland,1900,0
H,C,2,S,M,2.52083868,26,63.0766933,40.54324969,113.3326708,49.74733444,Agriculture,1700,0
L,N,1,S,S,44.51921604,26,58.72144326,75.36723937,134.3197248,383.2979724,Forest,1800,1
A,M,1,S,S,28.84406007,26,20.77271344,76.79750109,11.54698647,483.1371489,Urban,1600,0
M,C,3,V,M,28.19597834,26,67.10831875,78.26129481,143.4627179,485.0372283,Forest,1800,1
H,N,3,S,M,25.01392676,28,55.71084003,54.5213248,124.1831931,432.5355497,Agriculture,1900,1
L,N,2,S,M,3.469704295,25,25.66723304,82.8431634,139.4546479,300.3960747,Agriculture,1600,0
H,C,1,S,N,4.493842587,25,47.5882096,45.48348918,121.2180569,350.4328486,Urban,1700,0
M,N,4,V,M,30.04560028,25,51.50579544,51.95622019,95.01056348,142.6029013,Agriculture,1800,0
A,N,2,S,M,17.04792857,21,50.60603455,92.6482028,130.7190885,315.3852101,Forest,1700,1
A,M,1,S,S,45.86340333,22,66.40407862,84.32338904,120.5508115,227.8247747,Urban,1700,1
A,N,1,S,W,20.32952687,24,71.42226038,40.82473324,27.98550883,241.0086699,Wetland,1600,0
M,N,1,S,S,7.164072935,22,28.59200298,54.90257562,133.8838498,378.8882802,Urban,1800,0
A,N,2,S,M,35.73594168,25,19.06604449,52.86438898,80.90133629,140.9591778,Forest,1900,0
L,C,1,S,N,14.66767107,24,72.21236559,56.24837968,121.1160233,159.0198058,Urban,1700,1
H,N,1,S,N,26.27351537,21,76.89560488,54.85358622,134.413695,462.3208956,Urban,1600,0
D,N,4,S,N,34.89163928,24,70.34893321,43.75157774,47.70052125,28.11214743,Forest,1600,0
L,N,5,V,N,45.01320556,23,66.66612523,67.536431,116.5077887,242.8171492,Urban,1900,1
L,N,5,V,N,39.60955974,21,55.86693864,83.96400849,34.19027438,456.4004002,Urban,1600,0
L,N,5,V,N,33.81805339,23,48.56001594,76.40390348,64.06616829,305.1815039,Forest,1700,0
L,N,5,V,N,33.98165912,22,16.08907319,80.37230012,122.7022149,273.2035371,Agriculture,1600,0
L,N,5,V,N,47.2962322,23,38.59172491,44.86895071,129.1095875,124.8720896,Forest,1800,0
L,N,5,V,N,14.79120487,22,36.08819619,97.08944261,1.04281958,171.6377445,Urban,1800,0
M,N,1,S,N,0.05560471,22,68.18276486,90.30951003,117.6120954,426.0242079,Wetland,1700,1
L,N,2,M,N,13.59772797,23,60.63940796,88.30541911,62.61165047,279.6090659,Wetland,1800,0
L,N,2,V,N,10.89456898,24,44.71130146,89.3790283,33.31617157,257.3710969,Forest,1900,0
L,N,2,V,N,33.09172926,24,15.67323511,95.96263049,17.9798051,49.78985677,Wetland,1600,0
M,N,3,M,W,31.68557999,24,25.41282414,72.65523797,50.64227571,8.014078228,Urban,1700,0
M,N,1,S,N,29.67306914,25,57.82811346,52.01692107,141.4364556,481.8425943,Urban,1900,0
M,N,1,S,N,0.81217216,25,55.32916016,77.00701647,148.4804398,288.4930836,Forest,1600,1
L,N,2,V,N,36.43890272,25,69.58448398,84.57288962,137.8185933,301.606531,Urban,1900,1
M,N,1,S,N,16.17652062,25,44.66025689,84.2750436,105.4528438,39.85753659,Agriculture,1700,0
L,N,1,S,N,33.25279945,25,43.64106041,71.28694145,54.54444036,341.5571429,Urban,1700,0
M,N,1,S,N,27.82892143,25,51.46854493,44.10752316,145.7673124,466.2833544,Forest,1900,0
M,N,2,V,N,17.13654627,24,67.72766761,62.26677631,144.3670942,287.8326265,Agriculture,1600,1
A,N,4,M,M,6.728813355,22,34.34664455,95.24599651,37.76734437,63.05766119,Agriculture,1800,0
D,N,5,V,N,4.720944883,24,57.46113068,75.06693459,134.5872759,290.8607637,Wetland,1800,1
M,N,1,S,N,41.57591666,24,49.60123748,72.2999166,45.13174647,383.1736066,Urban,1900,0
D,N,1,S,N,45.9198771,23,58.69197891,56.13121086,142.7260742,303.2082683,Forest,1700,1
D,N,1,S,N,32.48940234,25,71.50409904,62.10693519,105.5330421,439.918874,Wetland,1600,1
M,F,4,V,W,5.171705743,24,65.81982151,93.72076535,141.4346501,324.3414767,Wetland,1600,1
M,C,2,M,S,20.10136084,25,56.09162843,79.98778285,75.40185348,449.6244591,Urban,1700,0
M,F,4,V,W,36.44696001,25,69.54072104,87.24322161,7.721812687,311.7526556,Urban,1800,0
M,N,2,S,W,38.9910442,25,70.71059407,67.26072538,41.79696964,65.643986,Forest,1600,0
M,N,1,S,S,5.910931115,25,59.58540837,77.81483317,136.2398829,354.8458556,Wetland,1900,1
M,D,4,V,N,0.001535942,25,68.59093299,54.90301652,35.9342836,100.8974741,Forest,1800,0
D,N,1,S,N,35.60685229,25,58.82300232,82.32764982,121.7342308,454.4132489,Wetland,1900,1
M,V,1,S,N,17.8298088,25,57.60985402,65.65608002,137.417914,380.2000336,Wetland,1800,1
M,N,1,S,S,12.72406658,23,53.30279648,66.55273089,147.8475681,338.1991845,Wetland,1700,0
A,N,1,S,M,0.644873489,25,62.69016477,78.95933947,136.3082907,350.4831598,Urban,1900,1
A,N,2,V,M,27.01497034,24,21.10235737,96.17683729,100.8203321,92.02238603,Wetland,1900,0
A,N,1,S,M,42.55753677,24,71.66095314,43.8403808,114.2429423,378.225544,Wetland,1700,0
A,N,2,V,W,47.88158231,24,71.02904694,89.48459424,35.6456316,237.0789729,Wetland,1900,0
D,N,3,V,S,28.28724753,24,12.04730981,57.54298662,109.2324523,112.8947761,Agriculture,1800,0
M,N,3,V,W,25.72306639,23,67.80717254,66.63516727,135.1674699,308.3109891,Urban,1600,1
A,F,3,V,S,4.252819274,24,19.02089072,41.31479973,94.84587459,20.16692607,Agriculture,1600,0
L,F,1,S,N,27.44364008,24,33.4583198,58.06276467,95.02945661,163.0851271,Urban,1700,0
M,V,1,M,W,18.99895395,24,62.04557794,70.15787456,80.36620261,234.2784973,Forest,1800,0
A,V,2,S,N,30.35676404,25,51.25319272,43.37056464,113.5434655,373.9791671,Agriculture,1900,1
A,A,2,V,S,19.43631739,25,67.25769169,69.46574376,125.2953743,492.3272388,Forest,1900,1
M,N,2,V,S,12.01495617,26,68.24939246,95.62663773,148.1170097,104.5486823,Wetland,1600,1
M,N,1,M,N,4.748263761,23,45.52274136,46.32359309,27.97777656,65.17656502,Forest,1900,0
M,N,1,S,S,15.74592223,25,10.44701102,85.86644368,6.116271233,101.7674369,Forest,1600,0
M,N,2,S,S,4.832241714,26,30.09266932,64.5802632,88.63394148,384.5305666,Forest,1700,0
A,N,1,S,N,8.844847541,24,53.18488429,79.31042287,101.6346543,212.7528296,Forest,1900,0
A,N,2,V,W,49.36680793,23,78.68303246,55.61419588,121.4881743,282.7079699,Urban,1800,1
A,N,2,M,W,22.20517785,25,54.22694689,49.56953575,76.81395874,10.50457849,Agriculture,1900,0
A,V,2,S,S,26.59358833,25,68.18625067,49.62775686,133.9743663,417.2156543,Urban,1600,1
M,N,2,M,M,43.68092644,25,54.38039922,44.22951674,96.77591856,222.9127749,Urban,1700,0
M,N,2,S,S,49.77844502,25,47.79897658,51.13880229,26.15496435,408.3276216,Urban,1600,0
A,N,1,S,W,29.13572247,24,64.58917766,79.8531631,103.6406607,442.6194394,Forest,1900,1
A,C,5,V,S,40.62369105,24,77.48864472,92.90143671,148.0103019,443.3532838,Urban,1600,1
M,N,2,S,N,16.34705122,24,63.27195318,88.84754114,140.5094983,269.1815511,Agriculture,1600,0
A,N,3,M,S,15.28719787,24,74.88866051,81.10805859,120.6281416,456.6148431,Urban,1700,1
H,N,3,V,M,20.13518605,26,77.40944027,46.6259118,51.15995266,193.9863772,Wetland,1800,0
L,N,1,V,S,33.62536313,26,73.93105162,57.35124678,117.0210282,414.7829157,Forest,1900,1
M,N,1,S,M,34.10958446,26,54.28353252,58.58841252,138.7040427,366.8478272,Wetland,1700,1
M,N,4,V,N,15.76197173,22,75.24196739,54.99741678,131.600903,467.6972448,Agriculture,1800,1
M,N,3,S,W,6.660496207,23,17.17568096,70.90033958,38.69124416,375.7116588,Agriculture,1600,0
M,N,4,V,M,31.61981282,23,75.60599411,72.13322889,138.9976069,470.6671964,Agriculture,1800,1
M,N,2,S,N,6.416293109,23,58.15200056,61.41315851,122.58333,338.3086168,Agriculture,1600,0
M,F,3,M,S,28.92462541,20,14.74859414,61.22734952,83.28012174,181.701966,Urban,1600,0
A,N,2,S,W,34.6711064,21,31.06744969,89.71333587,139.4475868,469.0905863,Forest,1700,1
A,N,2,S,W,35.03057482,23,59.57204621,87.3575709,36.27784364,137.7833882,Agriculture,1600,0
A,N,1,S,W,37.67360553,20,14.7145421,58.4677499,13.96541517,166.086261,Wetland,1700,0
A,N,1,S,N,43.64297108,20,50.75193221,94.82730663,134.5823637,350.404209,Agriculture,1800,0
A,N,1,S,W,24.9979496,22,34.21181399,97.16890102,135.0627086,382.6581498,Forest,1800,0
M,N,2,S,W,36.51245948,30,53.46408624,59.60455252,94.96521859,464.7017419,Wetland,1600,1
M,N,2,S,W,30.95863677,25,63.20194237,61.26549693,125.8544687,302.4012045,Wetland,1700,1
A,N,2,S,M,9.33199699,28,71.00757643,70.33804921,135.3814362,398.9990176,Wetland,1600,1
A,N,2,S,W,1.284482243,22,78.14422784,96.46724875,108.8933518,369.2730267,Urban,1700,0
A,N,2,S,S,14.22706928,20,77.82144987,92.57916599,134.566539,311.8972781,Agriculture,1700,1
A,N,2,V,M,22.15168532,21,62.47562822,46.15407776,143.0629636,293.6115706,Urban,1700,1
A,N,2,V,N,30.85529722,28,69.10603681,63.5638446,126.9813319,341.3827285,Wetland,1800,1
